"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, -8.40211192364E+000, +0.00000000000E+000
+5.72500000000E+007, -1.67485270657E+001, +0.00000000000E+000
+6.45000000000E+007, -1.15664862591E+001, +0.00000000000E+000
+7.17500000000E+007, -9.52916390632E+000, +0.00000000000E+000
+7.90000000000E+007, -3.48186933271E+001, +0.00000000000E+000
+8.62500000000E+007, -9.63284044205E+000, +0.00000000000E+000
+9.35000000000E+007, -1.09175510935E+001, +0.00000000000E+000
+1.00750000000E+008, -1.82459019403E+001, +0.00000000000E+000
+1.08000000000E+008, -8.70858014050E+000, +0.00000000000E+000
+1.15250000000E+008, -1.28644594234E+001, +0.00000000000E+000
+1.22500000000E+008, -1.48932126143E+001, +0.00000000000E+000
+1.29750000000E+008, -9.54742148565E+000, +0.00000000000E+000
+1.37000000000E+008, -1.97455309115E+001, +0.00000000000E+000
+1.44250000000E+008, -1.07145711966E+001, +0.00000000000E+000
+1.51500000000E+008, -9.27233273769E+000, +0.00000000000E+000
+1.58750000000E+008, -2.36404690709E+001, +0.00000000000E+000
+1.66000000000E+008, -9.97292981613E+000, +0.00000000000E+000
+1.73250000000E+008, -1.12111892319E+001, +0.00000000000E+000
+1.80500000000E+008, -1.92769749050E+001, +0.00000000000E+000
+1.87750000000E+008, -9.13190390115E+000, +0.00000000000E+000
+1.95000000000E+008, -1.38620279673E+001, +0.00000000000E+000
+2.02250000000E+008, -1.35289075761E+001, +0.00000000000E+000
+2.09500000000E+008, -9.03252166797E+000, +0.00000000000E+000
+2.16750000000E+008, -1.77412909182E+001, +0.00000000000E+000
+2.24000000000E+008, -1.19482134789E+001, +0.00000000000E+000
+2.31250000000E+008, -1.06363259525E+001, +0.00000000000E+000
+2.38500000000E+008, -2.41526032129E+001, +0.00000000000E+000
+2.45750000000E+008, -9.32425869127E+000, +0.00000000000E+000
+2.53000000000E+008, -1.07643923563E+001, +0.00000000000E+000
+2.60250000000E+008, -1.85744478921E+001, +0.00000000000E+000
+2.67500000000E+008, -9.68568301282E+000, +0.00000000000E+000
+2.74750000000E+008, -1.46465310879E+001, +0.00000000000E+000
+2.82000000000E+008, -1.40579639461E+001, +0.00000000000E+000
+2.89250000000E+008, -9.55616786297E+000, +0.00000000000E+000
+2.96500000000E+008, -1.87879140435E+001, +0.00000000000E+000
+3.03750000000E+008, -1.09344487088E+001, +0.00000000000E+000
+3.11000000000E+008, -9.74201053108E+000, +0.00000000000E+000
+3.18250000000E+008, -2.52229061038E+001, +0.00000000000E+000
+3.25500000000E+008, -1.05307572971E+001, +0.00000000000E+000
+3.32750000000E+008, -1.23249113204E+001, +0.00000000000E+000
+3.40000000000E+008, -1.73335853579E+001, +0.00000000000E+000
+3.47250000000E+008, -8.94913420221E+000, +0.00000000000E+000
+3.54500000000E+008, -1.31685737851E+001, +0.00000000000E+000
+3.61750000000E+008, -1.43197416934E+001, +0.00000000000E+000
+3.69000000000E+008, -9.76578517023E+000, +0.00000000000E+000
+3.76250000000E+008, -1.96275641440E+001, +0.00000000000E+000
+3.83500000000E+008, -1.18794356831E+001, +0.00000000000E+000
+3.90750000000E+008, -1.06932734369E+001, +0.00000000000E+000
+3.98000000000E+008, -2.15299791377E+001, +0.00000000000E+000
+4.05250000000E+008, -9.79564869796E+000, +0.00000000000E+000
+4.12500000000E+008, -1.11955599678E+001, +0.00000000000E+000
+4.19750000000E+008, -1.90918132102E+001, +0.00000000000E+000
+4.27000000000E+008, -1.00731793047E+001, +0.00000000000E+000
+4.34250000000E+008, -1.54895183488E+001, +0.00000000000E+000
+4.41500000000E+008, -1.31936719149E+001, +0.00000000000E+000
+4.48750000000E+008, -9.32440742197E+000, +0.00000000000E+000
+4.56000000000E+008, -1.74469666331E+001, +0.00000000000E+000
+4.63250000000E+008, -1.18440263062E+001, +0.00000000000E+000
+4.70500000000E+008, -1.06671269442E+001, +0.00000000000E+000
+4.77750000000E+008, -2.51250108575E+001, +0.00000000000E+000
+4.85000000000E+008, -1.07074925813E+001, +0.00000000000E+000
+4.92250000000E+008, -1.26489904369E+001, +0.00000000000E+000
+4.99500000000E+008, -1.55825695947E+001, +0.00000000000E+000
+5.06750000000E+008, -9.29078412904E+000, +0.00000000000E+000
+5.14000000000E+008, -1.39286585249E+001, +0.00000000000E+000
+5.21250000000E+008, -1.48720113674E+001, +0.00000000000E+000
+5.28500000000E+008, -1.04802813765E+001, +0.00000000000E+000
+5.35750000000E+008, -1.97043097802E+001, +0.00000000000E+000
+5.43000000000E+008, -1.13965897339E+001, +0.00000000000E+000
+5.50250000000E+008, -1.04709794787E+001, +0.00000000000E+000
+5.57500000000E+008, -1.83206065176E+001, +0.00000000000E+000
+5.64750000000E+008, -1.06305267387E+001, +0.00000000000E+000
+5.72000000000E+008, -1.24377369589E+001, +0.00000000000E+000
+5.79250000000E+008, -1.97902400833E+001, +0.00000000000E+000
+5.86500000000E+008, -1.08484509261E+001, +0.00000000000E+000
+5.93750000000E+008, -1.56697069488E+001, +0.00000000000E+000
+6.01000000000E+008, -1.26252619162E+001, +0.00000000000E+000
+6.08250000000E+008, -9.41535048529E+000, +0.00000000000E+000
+6.15500000000E+008, -1.67095984856E+001, +0.00000000000E+000
+6.22750000000E+008, -1.33541065603E+001, +0.00000000000E+000
+6.30000000000E+008, -1.19319145052E+001, +0.00000000000E+000
+6.37250000000E+008, -1.97852742387E+001, +0.00000000000E+000
+6.44500000000E+008, -1.04616899822E+001, +0.00000000000E+000
+6.51750000000E+008, -1.14723022719E+001, +0.00000000000E+000
+6.59000000000E+008, -1.62266019660E+001, +0.00000000000E+000
+6.66250000000E+008, -1.04159205745E+001, +0.00000000000E+000
+6.73500000000E+008, -1.43719469015E+001, +0.00000000000E+000
+6.80750000000E+008, -1.63205042567E+001, +0.00000000000E+000
+6.88000000000E+008, -1.11911767596E+001, +0.00000000000E+000
+6.95250000000E+008, -1.68309959461E+001, +0.00000000000E+000
+7.02500000000E+008, -1.16088965224E+001, +0.00000000000E+000
+7.09750000000E+008, -1.01523195651E+001, +0.00000000000E+000
+7.17000000000E+008, -1.92719505135E+001, +0.00000000000E+000
