"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, -1.33128906262E+000, +0.00000000000E+000
+5.72500000000E+007, -8.35981509210E-001, +0.00000000000E+000
+6.45000000000E+007, -1.19537859547E+000, +0.00000000000E+000
+7.17500000000E+007, -1.37303042811E+000, +0.00000000000E+000
+7.90000000000E+007, -8.40282025246E-001, +0.00000000000E+000
+8.62500000000E+007, -1.37341273193E+000, +0.00000000000E+000
+9.35000000000E+007, -1.33425454197E+000, +0.00000000000E+000
+1.00750000000E+008, -1.13008647117E+000, +0.00000000000E+000
+1.08000000000E+008, -1.64832797823E+000, +0.00000000000E+000
+1.15250000000E+008, -1.20913502326E+000, +0.00000000000E+000
+1.22500000000E+008, -1.22526677782E+000, +0.00000000000E+000
+1.29750000000E+008, -1.69225412642E+000, +0.00000000000E+000
+1.37000000000E+008, -1.25478496867E+000, +0.00000000000E+000
+1.44250000000E+008, -1.52509090078E+000, +0.00000000000E+000
+1.51500000000E+008, -1.66568951865E+000, +0.00000000000E+000
+1.58750000000E+008, -1.25393167392E+000, +0.00000000000E+000
+1.66000000000E+008, -1.75889944462E+000, +0.00000000000E+000
+1.73250000000E+008, -1.59188003149E+000, +0.00000000000E+000
+1.80500000000E+008, -1.30240846483E+000, +0.00000000000E+000
+1.87750000000E+008, -1.83585403544E+000, +0.00000000000E+000
+1.95000000000E+008, -1.56346469579E+000, +0.00000000000E+000
+2.02250000000E+008, -1.60504855392E+000, +0.00000000000E+000
+2.09500000000E+008, -1.90971417429E+000, +0.00000000000E+000
+2.16750000000E+008, -1.40689137624E+000, +0.00000000000E+000
+2.24000000000E+008, -1.71023520024E+000, +0.00000000000E+000
+2.31250000000E+008, -1.89783221185E+000, +0.00000000000E+000
+2.38500000000E+008, -1.55639084059E+000, +0.00000000000E+000
+2.45750000000E+008, -2.01187272401E+000, +0.00000000000E+000
+2.53000000000E+008, -1.86473466638E+000, +0.00000000000E+000
+2.60250000000E+008, -1.67555519060E+000, +0.00000000000E+000
+2.67500000000E+008, -2.11069357231E+000, +0.00000000000E+000
+2.74750000000E+008, -1.73165998411E+000, +0.00000000000E+000
+2.82000000000E+008, -1.74271034284E+000, +0.00000000000E+000
+2.89250000000E+008, -2.10231207785E+000, +0.00000000000E+000
+2.96500000000E+008, -1.75251531259E+000, +0.00000000000E+000
+3.03750000000E+008, -2.04240593733E+000, +0.00000000000E+000
+3.11000000000E+008, -2.08865831462E+000, +0.00000000000E+000
+3.18250000000E+008, -1.67325930992E+000, +0.00000000000E+000
+3.25500000000E+008, -2.12485029176E+000, +0.00000000000E+000
+3.32750000000E+008, -2.05914866866E+000, +0.00000000000E+000
